countrycode,country,currency_unit,year,GDP,net population growth,CPI,employment rate,labsh,xr,pl_gdpo,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k,GDP
CHN,China,Yuan Renminbi,1979,,986.132202,,467.5601196,0.59216857,1.554999999,0.15561451,0.55424422,0.216535255,0.223204881,0.022515329,-0.021945041,0.0054454,0.137899876,0.266381532,0.095942967,0.419003934,0.464479178,0.264011621,1.163995266,
CHN,China,Yuan Renminbi,1980,7.91,0.014153308,6,0.022125066,0,-0.036398714,0.136746869,0.057364948,-0.123816401,-0.009725464,0.254199617,0.263162188,-0.507048885,0.115001191,0.238380287,0.145451506,0.037808335,-0.002261869,0.037398691,0.023499483,7.91
CHN,China,Yuan Renminbi,1981,5.1,0.013931734,2.4,0.026923331,0,0.137568963,-0.063297012,0.010680534,0.007174092,-0.013567607,0.282117173,0.200425063,-2.619751922,-0.031439271,-0.114431386,-0.089637123,-0.080973596,-0.098966933,-0.086992194,-0.219286623,5.1
CHN,China,Yuan Renminbi,1982,9,0.013734191,1.9,0.035139016,0,0.110299006,-0.087447345,0.01010415,-0.042176009,0.010728951,0.005191084,-0.151637347,1.264647788,-0.094479953,-0.073919002,-0.095766699,-0.068520515,-0.068203732,-0.08182339,-0.106595474,9
CHN,China,Yuan Renminbi,1983,10.8,0.014088661,1.5,0.011456171,0,0.043926818,-0.001890738,-0.006450803,-0.013445572,0.035162899,-0.063892329,-0.022996286,-0.025119938,0.00719356,0.009997828,0.018621946,-0.03494835,0.021804404,-0.018513305,-0.093993271,10.8
CHN,China,Yuan Renminbi,1984,15.2,0.015099856,2.8,0.011966433,0,0.174303297,-0.089542393,-0.058064162,0.114910574,0.066250754,0.068825069,0.14598726,-0.034815172,-0.084098468,-0.121343784,-0.077829446,-0.063915688,-0.027512416,-0.050526509,-0.10175751,15.2
CHN,China,Yuan Renminbi,1985,13.501,0.016459881,9.3,0.010881907,0,0.265778273,-0.132481386,-0.04453431,0.311501388,-0.099059943,-0.071464595,0.359944357,-0.032317393,-0.089070742,-0.249843875,-0.092127539,-0.017300248,-0.03830227,-0.1300575,-0.120909026,13.501
CHN,China,Yuan Renminbi,1986,8.9,0.018059632,6.5,0.00606622,0,0.175755323,-0.05959865,0.029989776,-0.088033335,0.008335579,-0.11478341,-0.225176018,0.047457158,-0.084128798,-0.003023457,-0.091584501,0.112294179,0.111014252,-0.088230948,-0.098886433,8.9
CHN,China,Yuan Renminbi,1987,11.7,0.019252142,7.3,0.001873901,0,0.077997273,0.035014171,-0.006176195,0.009071169,-0.029174765,0.137794959,-0.119297185,0.045963706,0.014049269,0.014623299,0.008540572,0.08679336,0.114193703,0.001186918,0.028483026,11.7
CHN,China,Yuan Renminbi,1988,11.2,0.019378943,18.8,0.010594598,0,0,0.17275218,-0.021258715,0.121475819,-0.068170019,0.169695911,0.30190269,0.017550086,0.196865513,0.09426124,0.199561085,0.060160971,0.036870627,0.120466006,0.130568809,11.2
