countrycode,country,currency_unit,year,GDP,net population growth,CPI,employment rate,labsh,xr,pl_gdpo,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k,GDP
ITA,Italy,Euro,1979,,56.177851,,21.06397247,0.594379663,0.42910424,0.333670139,0.593014657,0.251631021,0.147016555,0.165858939,-0.180997401,0.023476223,0.328277558,0.323833942,0.370918423,0.369174629,0.365117341,0.260191798,1.20364511,
ITA,Italy,Euro,1980,3.477944452,0.003052769,21.06417,0.012956448,0,0.030794336,0.138793628,0.030126439,0.086754693,0.005551225,-0.133881039,0.061598172,-0.304871103,0.129707612,0.148564007,0.146843108,0.166045945,0.129002503,0.213849058,0.112060258,3.477944452
ITA,Italy,Euro,1981,0.780865695,0.002770733,17.9693,-0.001715611,0.007696825,0.327302608,-0.081311061,0.007942048,-0.081682376,0.054283269,0.062153254,-0.012320146,-0.112465402,-0.087979847,-0.07712175,-0.059223628,-0.071237779,-0.056540408,-0.050362648,-0.229092043,0.780865695
ITA,Italy,Euro,1982,0.413585662,0.002466752,16.48041,0.001458834,-0.000579076,0.189788567,0.001476094,-0.00386505,-0.01109255,0.027058002,-0.027066843,-0.024839846,0.025139126,0.008277042,-0.026622131,-0.020882279,0.012518795,-0.019712251,0.005352303,-0.037097512,0.413585662
ITA,Italy,Euro,1983,1.169203496,0.002125312,14.64659,0.00155038,-0.000546253,0.122984918,0.048437978,-0.010750087,-0.052949758,0.024722425,0.028636606,-0.0309207,0.391443909,0.046549601,0.037741885,0.045803426,-0.027256648,-0.02755576,0.043235274,-0.065650768,1.169203496
ITA,Italy,Euro,1984,3.225852378,0.0017244,10.79449,-0.001234562,-0.033257737,0.156771743,-0.021287783,-0.006472086,0.065965325,-0.01556793,0.048552612,0.081539089,-0.088305632,-0.013409475,-0.037965718,-0.016853489,-0.046727566,-0.039358819,-0.026383486,-0.045915769,3.225852378
ITA,Italy,Euro,1985,2.798085728,0.001294987,9.205993,0.008856077,-0.003034009,0.086785277,0.017104395,-0.008146666,0.00523037,0.007685221,0.04534744,0.033765064,0.087447263,0.02512111,0.005698735,0.017601184,0.013969197,0.027745331,0.015894763,-0.026104997,2.798085728
ITA,Italy,Euro,1986,2.859971887,0.000828234,5.823544,0.006833935,-0.019647581,-0.21924195,0.329718043,-0.01837663,-0.007557756,-0.030001868,-0.001972835,-0.101564014,-0.110367151,0.354702897,0.257571887,0.347949544,0.165811565,0.175964795,0.321483184,0.371219278,2.859971887
ITA,Italy,Euro,1987,3.191960619,0.000417837,4.747284,0.002355298,-0.003250055,-0.130626975,0.202173859,-0.007731622,0.051537109,0.002347083,0.037801984,0.055863397,-0.272937678,0.206133106,0.163247958,0.247936708,0.097195552,0.105806158,0.17764877,0.186784138,3.191960619
ITA,Italy,Euro,1988,4.19437727,0.000183168,5.058249,0.010654938,-0.005142004,0.004287963,0.058872829,0.002139914,0.033250774,-0.007498328,-0.021894687,0.015159742,-0.160438322,0.047899594,0.045666257,0.089438406,0.073402331,0.044773768,0.019041098,-0.005958096,4.19437727
