countrycode,country,currency_unit,year,GDP,net population growth,CPI,employment rate,labsh,xr,pl_gdpo,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k,GDP
RUS,Russian Federation,Russian Ruble,1990,-2.999995642,147.531561,60,75.27922821,0.519249141,0.001048012,0.251591831,0.335516423,0.417304695,0.248235703,0.126356587,-0.092393495,-0.035019942,0.364500523,0.192979947,0.201844409,0.329497486,0.369765818,0.124041714,,-2.999995642
RUS,Russian Federation,Russian Ruble,1991,-5.046939451,0.682315594,140,0.386977177,0,1.210413621,0.030098362,0.016541122,-0.112090395,-0.048336931,1.311907087,1.528461252,-0.81887143,-0.082310299,0.396438869,-0.140200594,-0.674419264,-0.705192382,-0.051982642,0,-5.046939451
RUS,Russian Federation,Russian Ruble,1992,-14.53107377,1.879185279,140,-0.652679525,0,14.54051819,-0.123764388,-0.027357762,-0.06024732,-0.099301167,0.119890698,-0.262071419,6.484777661,-0.295921882,-0.109619389,-0.183480037,2.67516763,3.413617485,0.546582913,0,-14.53107377
RUS,Russian Federation,Russian Ruble,1993,-8.668540341,-0.403448054,874.2458,9.467844242,0,8.655387804,0.114425058,0.206603354,-0.155126179,0.10097091,-0.3834118,-0.301785103,-0.787779977,0.180130933,0.028546367,0.267375271,0.107704169,0.008399055,0.078269516,0,-8.668540341
RUS,Russian Federation,Russian Ruble,1994,-12.56975598,0.45004297,307.7226,-0.757257977,0,2.993743392,0.056414797,0.175725652,-0.216704666,0.154511691,-0.26629848,-0.239223761,1.772608452,-0.049935611,0.275392447,0.18024143,0.046157466,0.056256521,0.294217437,0,-12.56975598
RUS,Russian Federation,Russian Ruble,1995,-4.143528406,-0.670357292,197.4143,0.946147449,0,1.576135748,0.053398334,0.045953555,-0.087489305,0.07748592,-0.025773561,0.047166033,0.51148942,0.120378324,0.149052449,-0.150998477,0.079031562,0.051748072,0.038492885,0.00682391,-4.143528406
RUS,Russian Federation,Russian Ruble,1996,-3.755069439,-0.093750767,47.75201,-0.733089661,0,0.431913286,0.01612791,-0.005238137,-0.133654479,0.03559049,-0.04860524,-0.134318979,-0.341969829,0.020172103,0.091457582,0.002657451,-0.04945647,-0.009565493,0.204094472,0.137971012,-3.755069439
RUS,Russian Federation,Russian Ruble,1997,1.399915805,-1.372806902,14.76132,-1.829181481,0,0.129666395,0.05507717,0.023012694,0.0384588,-0.006534272,-0.005103876,0.155230166,0.097775585,0.085493376,-0.056698956,0.147960167,-0.005738083,-0.040771501,0.04346241,0.055836024,1.399915805
RUS,Russian Federation,Russian Ruble,1998,-5.299961625,-4.785914557,27.68569,-1.495403817,0,0.67767726,-0.268479334,0.011197775,-0.363962286,0.082774262,0.000315652,-0.258303637,-0.446343443,-0.240721579,-0.216898979,-0.399327111,-0.080314177,-0.028586809,-0.318155217,-0.293720878,-5.299961625
RUS,Russian Federation,Russian Ruble,1999,6.39991469,-2.207539817,85.74649,-3.56483564,0,1.536804596,-0.255590763,-0.03485459,0.035528861,0.041588833,0.081448831,-0.267234217,1.791133,-0.281431809,-0.287508427,-0.443785229,-0.039948546,-0.026320352,-0.40100078,-0.360604122,6.39991469
RUS,Russian Federation,Russian Ruble,2000,10.00006682,0.562531269,20.79877,-0.84476395,0,0.142537812,0.156263628,-0.066494034,0.387532501,-0.108016897,0.294208435,0.024973274,0.453793034,0.06851189,0.050411381,0.341754216,-0.047638002,-0.048261053,0.457609297,0.393852652,10.00006682
RUS,Russian Federation,Russian Ruble,2001,5.100051225,-0.489998285,21.47701,1.024717939,0,0.036949489,0.151919929,0.070373535,0.03969143,-0.030037172,-0.078714958,0.222099871,0.043987572,0.150690199,0.300899064,0.293426271,0.026889731,-0.013424027,0.285040341,0.289050568,5.100051225
RUS,Russian Federation,Russian Ruble,2002,4.699991909,-0.078442215,15.78873,-0.202279401,0,0.074736667,0.086750915,0.047965515,-0.129311937,-0.016479867,0.02086581,0.058866872,-0.067151966,0.072511676,0.138955392,0.18642513,0.012233492,0.004668966,0.122054861,0.036523717,4.699991909
RUS,Russian Federation,Russian Ruble,2003,7.299952345,0.553184024,13.66329,-0.442833273,-0.021219748,-0.020940673,0.134755122,-0.011223462,0.069051646,-0.050969859,0.088979303,0.033469343,0.061024096,0.135752443,0.10246774,0.192349938,0.044884361,0.091809118,0.105602639,0.098827557,7.299952345
RUS,Russian Federation,Russian Ruble,2004,7.19994787,-0.013699333,10.88861,-0.19200657,-0.013760191,-0.061197765,0.209262595,-0.000915662,0.020900558,-0.091962684,0.101495731,0.093797251,-0.125928876,0.204862178,0.186947917,0.261554858,0.085875962,0.060963244,0.215546543,0.251467714,7.19994787
RUS,Russian Federation,Russian Ruble,2005,6.399965448,-0.111109474,12.68531,0.310630785,-0.013756265,-0.018369707,0.114812441,-0.005247131,-0.013262529,-0.103242889,0.134567444,0.089629107,-0.137575308,0.109678109,0.085260052,0.235825022,0.006370905,0.033640284,0.123483371,0.151356186,6.399965448
RUS,Russian Federation,Russian Ruble,2006,8.200068255,0.281267582,9.668655,-0.40512579,0.018760353,-0.038660241,0.113817126,-0.021166951,0.047649483,-0.003530065,0.004754616,0.15429242,-0.288083643,0.111365077,0.121071249,0.151984835,0.072113629,0.041178125,0.106271725,0.109000447,8.200068255
RUS,Russian Federation,Russian Ruble,2007,8.499977768,0.036574026,9.007296,-0.101272463,0.030674567,-0.059215013,0.12137365,-0.001640182,0.077612786,0.015696881,-0.080414634,0.146564298,-0.468184289,0.122360827,0.187729701,0.098281681,0.082568006,0.079602766,0.182967875,0.11218494,8.499977768
RUS,Russian Federation,Russian Ruble,2008,5.199969265,-0.38823731,14.11077,1.560786027,0.018363296,-0.028457635,0.113757549,-0.008760715,0.023658122,0.060590042,0.064717538,0.035236401,1.211560371,0.126361152,0.148204889,0.082489584,0.088363099,0.123949429,0.171343987,0.12542834,5.199969265
RUS,Russian Federation,Russian Ruble,2009,-7.799993913,-2.500007695,11.64733,-1.550278038,0.076228404,0.277130245,-0.180562014,0.087413236,-0.321584525,0.166681339,-0.189924725,-0.2375911,0.039467547,-0.158001838,-0.103555174,-0.181187112,-0.113291368,-0.064934195,-0.173685169,-0.363864192,-7.799993913
RUS,Russian Federation,Russian Ruble,2010,4.5,-1.576923527,6.849392,-2.019312598,-0.055924334,-0.043239682,0.101960525,-0.03089937,0.175535902,-0.072730395,0.099364524,0.166455685,-0.190919168,0.071567805,0.120108071,0.07053625,0.056482903,0.014359117,0.166884554,0.265717156,4.5
RUS,Russian Federation,Russian Ruble,2011,4.300029186,-0.044437959,8.440471,0.289602215,0.018541761,-0.032454449,0.148978241,-0.043368528,0.090124722,-0.05457176,0.076336942,0.089311544,-0.406292921,0.179634085,0.075953731,0.182052074,0.043363066,0.057834074,0.138381402,0.257585902,4.300029186
RUS,Russian Federation,Russian Ruble,2012,4.024086157,-0.064172362,5.074733,-0.357533262,0.007177176,0.049604283,0.01016084,0.041452089,0.028627296,-0.029110801,-0.058381814,-0.009114003,0.254095731,-0.01209435,-0.013959902,0.062492071,0.011223762,-0.02277337,0.006928193,0.025345019,4.024086157
RUS,Russian Federation,Russian Ruble,2013,1.755422149,-0.563771231,6.753717,2.050811381,0.037803014,0.032338448,0.055038218,-0.016280924,0.052952625,0.041998621,-0.007957668,-0.011235683,0.370843921,0.114209711,-0.055747871,0.0520798,0.027181207,0.02342643,0.002539386,-0.052521124,1.755422149
RUS,Russian Federation,Russian Ruble,2014,0.736267221,-0.580575407,7.823416,1.761847364,0.024161343,0.205453843,-0.070388991,0.027672198,-0.104658098,0.02996991,-0.049902703,-0.076196859,-0.004699196,-0.096763169,-0.001639449,-0.099673933,0.029194819,0.020560704,-0.158970018,-0.165564629,0.736267221
RUS,Russian Federation,Russian Ruble,2015,-1.972719226,-3.679352238,15.5344,-1.741085385,-0.016423862,0.587819095,-0.278034085,-0.006950642,0.011121448,0.051432913,-0.165933496,-0.22044055,-0.002632625,-0.286714241,-0.293696592,-0.32591478,-0.097209755,-0.109206868,-0.339477338,-0.36547236,-1.972719226
RUS,Russian Federation,Russian Ruble,2016,0.193690072,-1.098184308,7.042436,-5.617281383,0.003655535,0.100402349,-0.057350584,0.00794022,0.015902947,0.002579722,-0.109220253,0.137212351,-0.582360852,-0.047918286,-0.032446081,-0.042895385,-0.008348051,0.004618257,-0.030813824,-0.088976928,0.193690072
RUS,Russian Federation,Russian Ruble,2017,1.825790064,8.426348213,3.683334,-0.944515112,-0.010423401,-0.129938273,0.141785416,-0.013327022,0.025649398,-0.03363769,0.139078611,0.097516697,0.04492445,0.147156205,0.13787863,0.171086414,0.021586568,0.057439402,0.167196969,0.226873335,1.825790064
RUS,Russian Federation,Russian Ruble,2018,2.80724541,0.537551039,2.878305,-0.491763128,-0.057447857,0.074136518,-0.001623394,-0.029461234,-0.070034675,-0.025968152,0.101851923,-0.134101193,-0.174789198,-0.027172599,0.002123084,-0.030538976,0.020056498,0.007408204,-0.015989761,0.131237159,2.80724541
RUS,Russian Federation,Russian Ruble,2019,2.198075741,-0.216999079,4.470367,0.983554299,0,0.033023562,0.014006107,0.023367988,0.017627353,0.028915183,-0.062413269,0.004299654,0.687996866,0.01977423,0.044234724,0.014243008,0.007383791,0.023794936,0.039945714,0.001818034,2.198075741
