countrycode,country,currency_unit,year,GDP,net population growth,CPI,employment rate,labsh,xr,pl_gdpo,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k,GDP
ZAF,South Africa,Rand,1979,,27.82732,,8.43386364,0.599252641,0.842022602,0.225525901,0.58449167,0.235240266,0.130059332,0.132074952,-0.093920812,0.012054554,0.200640857,0.25753817,0.258376807,0.330013126,0.343265384,0.233186558,0.835800827,
ZAF,South Africa,Rand,1980,6.620609859,0.026213412,13.66024,-0.018709607,-0.066923411,-0.075044144,0.297687506,-0.013413837,0.210432673,-0.010633201,0.470146444,0.683059704,-3.170584909,0.249811139,0.224140189,0.247907104,0.39149221,0.192481124,0.252428272,0.489408062,6.620609859
ZAF,South Africa,Rand,1981,5.36077339,0.027185639,15.25424,-0.00339623,0.07872555,0.126785989,-0.017850204,0.025650039,0.058141755,-0.011558687,-0.125851235,0.075865921,-0.251080959,0.028804109,0.037657827,0.035618661,-0.109469975,0.004953299,0.017546002,-0.271647499,5.36077339
ZAF,South Africa,Rand,1982,-0.383397421,0.027864253,14.63904,-0.003838099,0,0.23728565,-0.098042982,0.006258341,-0.237313822,0.0465733,-0.079234246,-0.220571666,-1.929695413,-0.070622637,-0.112499904,-0.048506109,-0.087178194,0.018015781,-0.059557961,-0.154933019,-0.383397421
ZAF,South Africa,Rand,1983,-1.846550883,0.027970065,12.30321,-0.003977723,0,0.02604877,0.105074552,0.025658049,0.017325611,-0.0010422,-0.022164807,-0.205379072,-2.353312914,0.098293468,0.074023999,0.105372062,0.056074229,0.066052414,0.095575375,-0.042061972,-1.846550883
ZAF,South Africa,Rand,1984,5.099128024,0.027355024,11.52648,-0.003238413,0,0.324187685,-0.135676897,0.019850111,-0.029227112,0.033568367,-0.007138054,0.202094377,-0.512265658,-0.157887831,-0.101173443,-0.10335434,-0.110234882,-0.158749529,-0.156254942,-0.195386469,5.099128024
ZAF,South Africa,Rand,1985,-1.211522845,0.026295198,16.29423,-0.002104257,0,0.510681888,-0.229445132,-0.023650711,-0.19053995,0.051102072,-0.303059318,-0.26933,-5.224369249,-0.241954813,-0.216376446,-0.242279426,-0.000620065,-0.051936334,-0.239755424,-0.267087245,-1.211522845
ZAF,South Africa,Rand,1986,0.017868054,0.025003279,18.65492,-0.010628921,0,0.025287073,0.1584036,0.018319615,-0.120518175,0.050017359,0.001410411,0.000704745,0.072743501,0.158304005,0.221169189,0.139658378,0.131549988,0.156118312,0.158615909,0.130197458,0.017868054
ZAF,South Africa,Rand,1987,2.100721494,0.023936444,16.16059,0.025587829,0,-0.108969314,0.234374064,-0.023067022,-0.108384098,-0.018809642,-0.185842609,0.0062032,1.007378912,0.297263722,0.145954649,0.28367082,0.084051923,0.122399612,0.276225293,0.33951035,2.100721494
ZAF,South Africa,Rand,1988,4.200106209,0.023417937,12.77955,0.023135453,0,0.116616051,0.043673768,0.026424301,0.168253992,-0.011418257,0.1209282,0.110476278,-0.35333005,0.031172027,0.124210171,0.019257159,0.053469992,0.073740177,0.063516012,0.060889588,4.200106209
ZAF,South Africa,Rand,1989,2.394778354,0.023621639,14.73088,0.020263556,0,0.153602372,0.030258533,0.024005095,0.005302595,0.038514408,0.045140636,-0.126163027,-0.549508655,-0.002623845,0.075691811,0.026540151,0.024480171,0.040109463,-0.00500184,-0.031372592,2.394778354
ZAF,South Africa,Rand,1990,-0.317761322,0.02422649,14.32099,0.017253825,0,-0.013481134,0.160111095,0.051017282,-0.168830983,-0.0385632,0.013029652,0.017245899,0.071388846,0.166182761,0.186201853,0.237317944,0.004383166,0.047853339,0.14898714,0.146983122,-0.317761322
ZAF,South Africa,Rand,1991,-1.01825051,0.024957291,15.33477,0.014345669,-0.000465933,0.067248779,0.08454865,0.003901986,0.027310843,0.033267889,-0.142498289,-0.029313996,0.016130329,0.091884466,0.035721849,0.055813911,0.163995208,0.067138879,0.048055772,0.093210502,-1.01825051
