countrycode,country,currency_unit,year,GDP,net population growth,CPI,employment rate,labsh,xr,pl_gdpo,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k,GDP
USA,United States,US Dollar,1979,,227.3393,,102.8106,0.62262,1,0.356781,0.618071,0.272758,0.113555,0.079577,-0.08948,0.005518141,0.348331,0.328465,0.48397,0.310265,0.332143,0.292958,1,
USA,United States,US Dollar,1980,-0.25675,0.009400486,13.5492,-0.006804679,0.002776975,1,0.090820419,0.007345434,-0.067444401,0.024252565,0.134674592,0.009275816,0.220014675,0.099494446,0.08582954,0.097712668,0.073050457,0.14885456,0.103564333,0,-0.25675
USA,United States,US Dollar,1981,2.537727,0.009411425,10.33471,0.00168449,-0.016229705,1,0.095191478,-0.011194791,0.038936634,0.006491329,-0.061255454,-0.001218027,0.2582855,0.090117706,0.097855923,0.083559839,0.100465563,0.055466162,0.100158368,0,2.537727
USA,United States,US Dollar,1982,-1.80289,0.009435921,6.131427,-0.017024554,0.004114188,1,0.062949434,0.034987923,-0.078322599,0.044394519,-0.110449135,-0.055764967,-0.201740966,0.05494824,0.04844493,0.067570338,0.041154218,0.006676615,0.063529193,0,-1.80289
USA,United States,US Dollar,1983,4.583921,0.009444799,3.212435,0.003772817,-0.020901737,1,0.039897409,0.014714814,0.02461325,-0.023981482,-0.128539409,0.024773981,-0.094641464,0.038729189,0.023326115,0.052591413,0.013624114,-0.011318623,0.011557729,0,4.583921
USA,United States,US Dollar,1984,7.236626,0.009433539,4.300536,0.031658696,-0.003146466,1,0.036815116,-0.020298288,0.141371117,-0.06136815,-0.005874386,0.170256645,0.067732801,0.040493901,0.024444005,0.059871473,0.015760902,0.008132738,0.0223339,0,7.236626
USA,United States,US Dollar,1985,4.16965,0.009414212,3.545644,0.011268588,0.000581442,1,0.03180254,0.012031265,-0.018841892,0.013606414,-0.080920962,0.013412963,0.440505368,0.03265361,0.013588245,0.030694372,0.017400515,0.003555971,0.022922189,0,4.16965
USA,United States,US Dollar,1986,3.462646,0.009410819,1.898048,0.01326467,0.009023712,1,0.020677833,0.00835499,-0.028213413,0.023465163,-0.158069191,-0.078446527,0.131111881,0.020349044,0.030869745,0.009647035,0.147977506,0.123867576,0.029210816,0,3.462646
USA,United States,US Dollar,1987,3.459261,0.009431829,3.664563,0.016414024,0.013551915,1,0.025009719,-0.000945221,-0.007172523,-0.009036611,0.042712723,-0.053779222,-0.345512323,0.031448999,0.027183412,0.027079342,0.10247215,0.119406293,0.028542014,0,3.459261
USA,United States,US Dollar,1988,4.177061,0.009465307,4.077741,0.01239348,0.00761884,1,0.035903252,0.003436054,-0.033162244,-0.018950184,0.141976246,-0.005650343,0.130526905,0.036149748,0.035487433,0.033936562,0.061020535,0.048478743,0.034315068,0,4.177061
