year,mean,LCI,UCI,GDP,LGDP,UGDP
1985,13.44920058,13.37488931,13.52351184,0.701177,,
1986,8.907267605,8.890007964,8.924527246,0.763932,,
1987,11.62540628,11.48977105,11.76104152,0.852987,,
1988,11.15779657,11.08060285,11.2349903,0.948714,,
1989,4.195218111,4.159033183,4.231403039,0.988621,,
1990,3.868047785,3.849009542,3.887086028,1.027377,,
1991,8.397052225,8.388002224,8.406102226,1.122541,,
1992,14.22502855,14.19451089,14.25554621,1.282217,,
1993,14.03757862,13.98914187,14.08601537,1.460237,,
1994,13.0307671,13.01221975,13.04931446,1.650605,,
1995,11.13463441,11.08405594,11.18521288,1.831411,,
1996,10.66240352,10.57342374,10.7513833,2.013134,,
1997,9.111900806,9.070319319,9.153482292,2.199083,,
1998,7.906647502,7.880328624,7.93296638,2.371622,,
1999,7.986727917,7.953706145,8.01974969,2.553328,,
2000,8.495015769,8.480502466,8.509529073,2.770108,,
2001,10.35867945,10.31833287,10.39902604,3.001016,,
2002,9.893522141,9.814234208,9.972810073,3.275118,,
2003,10.14106173,10.06179378,10.22032967,3.603876,,
2004,10.24904841,10.12020493,10.3778919,3.968358,,
2005,11.06690575,10.94416753,11.18964398,4.420536,,
2006,12.76905658,12.66982735,12.86828582,4.982871,,
2007,13.88755034,13.70543035,14.06967033,5.691976,,
2008,9.740143186,9.639775548,9.840510823,6.241291,,
2009,7.923703711,7.865830026,7.981577396,6.827892,,
2010,6.782885134,6.735227757,6.830542512,7.554098,,
2011,7.385164993,7.343646576,7.426683409,8.275578,,
2012,7.860862585,7.835937984,7.885787187,8.926347,,
2013,7.765817286,7.745564372,7.7860702,9.619581,,
2014,7.349175289,7.327182937,7.37116764,10.333908,,
2015,7.084693622,7.024700671,7.144686574,11.061553,,
2016,6.894926084,6.867653254,6.922198914,11.819132,,
2017,6.896321058,6.846044558,6.946597557,12.640231,,
2018,6.895717325,6.835778144,6.955656506,13.493418,,
2019,6.793988955,6.774159691,6.813818219,14.296344,,
2020,7.135873341,7.105109186,7.166637496,15.316513,15.31211485,15.32091115
2021,7.472976344,7.413760984,7.532191704,16.46111239,16.45204266,16.47018212
2022,7.538989255,7.497623969,7.58035454,17.70211389,17.6953047,17.70892307
2023,7.307337239,7.279780048,7.33489443,18.99566705,18.99078885,19.00054526
2024,6.9940902,6.955261466,7.032918934,20.32424114,20.31686536,20.33161691
2025,7.141669736,7.087451304,7.195888169,21.77573131,21.76471183,21.7867508
2026,7.321762005,7.283070207,7.360453803,23.37009854,23.36167311,23.37852395
2027,7.31362025,7.276118826,7.351121674,25.07929879,25.07053468,25.08806292
2028,7.142866358,7.089132157,7.196600558,26.87067959,26.85720343,26.88415575
2029,7.276830855,7.214820934,7.338840775,28.82601349,28.80935101,28.84267598
2030,7.313998773,7.268246143,7.359751402,30.93434777,30.9211591,30.94753642
2031,6.820449454,6.763293007,6.8776059,33.04420932,33.02652835,33.0618903
