year,mean,LCI,UCI,GDP,LGDP,UGDP
1985,5.279417261,5.240498608,5.318335915,0.348438338,,
1986,4.776028121,4.739141316,4.812914927,0.365081719,,
1987,8.673755931,8.524751184,8.822760677,0.379558507,,
1988,9.534387474,9.379667993,9.689106955,0.416101576,,
1989,5.988007576,5.911511091,6.06450406,0.440848566,,
1990,5.427068365,5.317608868,5.536527863,0.465242721,,
1991,1.267349284,1.011592802,1.523105766,0.470159552,,
1992,5.504497894,5.44202093,5.566974858,0.495935561,,
1993,4.774890431,4.724036635,4.825744227,0.519496349,,
1994,6.60579782,6.542629853,6.668965788,0.554089217,,
1995,7.759446272,7.669221813,7.849670731,0.596058659,,
1996,6.158737559,6.081870554,6.235604564,0.64105824,,
1997,4.098121023,3.966063433,4.230178614,0.667019951,,
1998,6.256258336,6.191687759,6.320828914,0.708271238,,
1999,8.331564345,8.139265836,8.523862855,0.770923181,,
2000,4.062465113,3.938851693,4.186078533,0.800534272,,
2001,7.063485733,6.952762883,7.174208583,0.839151775,,
2002,7.121398043,6.996682883,7.246113203,0.871072901,,
2003,7.826168243,7.731557576,7.920778909,0.939542554,,
2004,7.908706885,7.842338498,7.975075272,1.013981915,,
2005,9.356873269,9.306429042,9.407317496,1.094324069,,
2006,9.325922816,9.251045607,9.400800025,1.182534606,,
2007,9.73022458,9.609358365,9.851090796,1.273126395,,
2008,6.024840917,5.931261127,6.118420707,1.312423963,,
2009,6.68461353,6.610343033,6.758884028,1.415605276,,
2010,6.668009804,6.622283943,6.713735664,1.535897533,,
2011,8.291874469,8.166479144,8.417269795,1.616398761,,
2012,6.063302104,6.038122055,6.088482153,1.704595761,,
2013,5.54678724,5.495250961,5.598323518,1.81345306,,
2014,4.949409076,4.901639803,4.997178348,1.947834059,,
2015,4.827959978,4.795187602,4.860732355,2.103587814,,
2016,5.008263407,4.949975338,5.066551476,2.27726645,,
2017,5.082312673,5.053620086,5.11100526,2.432015437,,
2018,5.759587532,5.722585529,5.796589536,2.588974098,,
2019,6.12171885,6.074211311,6.16922639,2.68574784,,
2020,6.869859798,6.828431777,6.911287819,2.870254951,2.869142299,2.871367604
2021,5.859263297,5.832507254,5.88601934,3.038430746,3.03766278,3.039198713
2022,5.79527104,5.741504749,5.84903733,3.214516043,3.212882392,3.216149695
2023,5.551933557,5.477106961,5.626760153,3.392983838,3.390578525,3.395389151
2024,5.728314814,5.661250935,5.795378694,3.587344634,3.585069168,3.589620101
2025,5.972953535,5.918677217,6.027229852,3.801615062,3.799667984,3.803562141
2026,5.189312249,5.138388118,5.24023638,3.998892738,3.996956799,4.000828678
2027,5.060473619,5.014398567,5.106548671,4.20125565,4.199413159,4.203098142
2028,4.939424773,4.899562593,4.979286953,4.408773513,4.407098801,4.410448225
2029,5.100814444,5.066872791,5.134756097,4.633656869,4.632160458,4.63515328
2030,5.409436605,5.306092339,5.512780871,4.8843116,4.879522981,4.889100218
2031,5.818452947,5.66469297,5.972212925,5.168502972,5.160992856,5.176013088
