year,mean,LCI,UCI,GDP,LGDP,UGDP
1996,-3.58383572,-3.756970057,-3.410701383,0.694405609,,
1997,-3.470583812,-4.02552769,-2.915639933,0.704126703,,
1998,-4.985528952,-5.536326181,-4.434731724,0.666808258,,
1999,6.462660088,6.344745282,6.580574894,0.709483418,,
2000,9.861853112,9.627736786,10.09596944,0.780432233,,
2001,5.002875893,4.929486925,5.076264861,0.820234677,,
2002,4.780857673,4.734454264,4.827261081,0.858785641,,
2003,7.232973654,7.121084766,7.344862542,0.921476583,,
2004,7.154005464,7.089001471,7.219009456,0.987822417,,
2005,6.439612294,6.369360454,6.509864133,1.05104271,,
2006,6.218941756,5.970291977,6.467591534,1.13722893,,
2007,8.36750478,7.93616173,8.798847829,1.233893136,,
2008,4.960730697,4.727844868,5.193616526,1.2980552,,
2009,5.030972316,4.805343996,5.256600637,1.196806973,,
2010,1.491308043,1.120761312,1.861854774,1.250663287,,
2011,4.341092913,4.272422935,4.40976289,1.304442173,,
2012,4.018881204,3.986662921,4.051099488,1.35693405,,
2013,1.557070159,1.455906404,1.658233913,1.380753971,,
2014,0.766176502,0.728659612,0.803693393,1.39092001,,
2015,-1.8554426,-2.110694144,-1.600191055,1.363481063,,
2016,1.235428063,0.964739137,1.506116989,1.366121991,,
2017,2.693200021,2.6225159,2.763884142,1.39106451,,
2018,1.961918593,1.876033794,2.047803393,1.430115105,,
2019,0.982336539,0.934520875,1.030152203,1.461550118,,
2020,1.104875444,1.063573143,1.146177744,1.477698427,1.477094773,1.47830208
2021,0.058987493,-0.158028333,0.276003319,1.478570084,1.475363244,1.481776923
2022,0.494456056,0.344817593,0.644094519,1.485880963,1.483668454,1.488093473
2023,-0.166294242,-0.215664564,-0.11692392,1.483410029,1.482676445,1.484143613
2024,0.532901426,0.489215222,0.57658763,1.491315142,1.490667096,1.491963187
2025,0.162891139,0.121545906,0.204236372,1.493744362,1.493127774,1.49436095
2026,0.35478939,0.316632002,0.392946779,1.499044009,1.498474035,1.499613983
2027,0.960053508,0.880787654,1.039319362,1.513435633,1.512247403,1.514623863
2028,0.441808386,0.407894954,0.475721818,1.520122119,1.519608861,1.520635377
2029,-0.715127715,-0.809349284,-0.620906146,1.509251304,1.507819021,1.510683587
2030,1.016984507,0.886077674,1.147891341,1.524600156,1.522624443,1.526575869
2031,0.228690882,0.0340368,0.423344963,1.528086778,1.525119081,1.531054474
