year,mean,LCI,UCI,GDP,LGDP,UGDP
1985,1.646026045,1.625537724,1.666514365,1.406904493,,
1986,2.302284118,2.275972292,2.328595944,1.439787739,,
1987,3.774954392,3.729570604,3.820338179,1.476673666,,
1988,4.697743859,4.653968123,4.741519596,1.546714398,,
1989,4.325729623,4.300782961,4.350676284,1.613901523,,
1990,2.943484939,2.91889554,2.968074339,1.661090955,,
1991,1.100440966,1.041531424,1.159350508,1.67850211,,
1992,1.546474057,1.481590461,1.611357652,1.70534711,,
1993,-0.464381054,-0.618119835,-0.310642274,1.694626167,,
1994,2.277700023,2.219688139,2.335711907,1.73459125,,
1995,3.728076015,3.54885971,3.90729232,1.771133802,,
1996,2.699287367,2.680017841,2.718556893,1.796159811,,
1997,2.457862308,2.355148623,2.560575994,1.83812343,,
1998,3.553181104,3.517387815,3.588974392,1.90408742,,
1999,3.460314177,3.415128838,3.505499516,1.969233368,,
2000,3.879599812,3.813637316,3.945562309,2.046499571,,
2001,2.401934929,2.311952009,2.49191785,2.087096422,,
2002,0.696369189,0.554100717,0.838637661,2.110796059,,
2003,0.873219849,0.799909323,0.946530374,2.128171303,,
2004,2.795926556,2.760319524,2.831533588,2.188393293,,
2005,1.861905349,1.760023944,1.963786754,2.224791088,,
2006,2.495224555,2.444669351,2.545779759,2.279283421,,
2007,2.325869577,2.21377078,2.437968375,2.334550032,,
2008,0.217560503,0.16890645,0.266214555,2.340501873,,
2009,0.137979167,0.0982223,0.177736034,2.273251909,,
2010,1.010731638,0.980484628,1.040978649,2.317567537,,
2011,0.255610865,0.228733767,0.282487963,2.368384855,,
2012,0.307642183,0.294581242,0.320703123,2.375801091,,
2013,0.580164871,0.569646276,0.590683465,2.389493466,,
2014,0.973313802,0.951763828,0.994863776,2.412341398,,
2015,1.126388354,1.112401021,1.140375688,2.439188643,,
2016,1.129226982,1.089978487,1.168475477,2.465909086,,
2017,2.252179978,2.213519091,2.290840865,2.52241342,,
2018,2.898454643,2.798840127,2.998069159,2.569458097,,
2019,1.609732581,1.566848882,1.65261628,2.616812486,,
2020,0.408484843,0.233792782,0.583176904,2.627501768,2.622930404,2.632073132
2021,2.544874339,2.455053072,2.634695606,2.694368386,2.692008331,2.696728442
2022,2.686877255,2.627908165,2.745846346,2.766762758,2.765173913,2.768351602
2023,2.792076074,2.739835955,2.844316193,2.844012879,2.842567519,2.845458239
2024,1.90990464,1.729103147,2.090706132,2.898330813,2.893188795,2.90347283
2025,2.421844439,2.245777049,2.597911828,2.968523876,2.963420861,2.973626892
2026,4.408985025,4.318060177,4.499909872,3.099405649,3.096706524,3.102104775
2027,3.214398952,3.147764377,3.281033528,3.199032912,3.196967636,3.201098188
2028,2.412033391,2.324202805,2.499863976,3.276194654,3.273384925,3.279004383
2029,3.646742162,3.57271815,3.720766173,3.395669026,3.393243855,3.398094197
2030,3.556464266,3.471798319,3.641130212,3.516434781,3.513559806,3.519309757
2031,5.94940274,5.765166144,6.133639335,3.725641649,3.719163089,3.732120208
